Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL4469263,COc1ccc(N(C(=O)NCCCn2cncc2C)C(C)C)cc1OC,7.76
CHEMBL4578714,COc1ccc(N(CC(C)C)C(=O)NCCCn2cncc2C)cc1OC,8.12
CHEMBL3703774,Cc1cn(CCCn2c(=S)[nH]c3sc(C)c(-c4ccccc4)c3c2=O)cn1,5.51
CHEMBL3703762,Cc1sc2[nH]c(=S)n(CCCn3cncc3C)c(=O)c2c1-c1ccccc1,6.73
CHEMBL4127544,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCCN1CCNCC1,7.82
CHEMBL2392794,Cc1cncn1CCCNC(=S)Nc1nccc2ccccc12,6.8
CHEMBL3659481,O=C1OC[C@H](c2ccc(N3CCN(c4ccccc4)CC3)cc2)N1c1ccc2nc[nH]c2c1,7.35
CHEMBL3947463,Cc1c(C)c(C)c(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)c(C)c1C,4.640000000000001
CHEMBL3955550,CC(C)(C)c1ccc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.359999999999999
CHEMBL3911293,Clc1ccc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.449999999999999
CHEMBL3974413,COc1cc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc(OC)c1OC,5.49
CHEMBL3986946,Fc1cc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc(F)c1F,5.49
CHEMBL3969169,Cc1cc(C)c(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)c(C)c1,5.635
CHEMBL3916473,Fc1ccc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.665
CHEMBL2418792,c1ccc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.7375
CHEMBL3958231,Fc1c(F)c(F)c(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)c(F)c1F,5.975
CHEMBL565265,Cc1cncn1CCCN1Cc2cc(Cc3ccccc3)sc2NC1=S,7.7
CHEMBL573682,CN/C(=C/[N+](=O)[O-])NCCCn1ccnc1,4.69
CHEMBL203033,CC(C)(C)/N=C(\S)NCCCn1ccnc1,4.83
CHEMBL202763,C/N=C(\S)NCCCn1ccnc1,4.88
CHEMBL201207,CC(C)/N=C(\S)NCCCn1ccnc1,4.95
CHEMBL201374,CCC/N=C(\S)NCCCn1ccnc1,5.33
CHEMBL584587,CN/C(=N/C#N)NCCCn1ccnc1,5.82
CHEMBL5275094,Cc1n[nH]c2ccc(NC(=O)NCCCn3cncc3C)cc12,6.97
CHEMBL5291411,Cc1nn(C)c2ccc(NC(=O)NCCCn3cncc3C)cc12,8.25
CHEMBL2392789,Cc1cncn1CCCNC(=S)Nc1ccccn1,6.34
CHEMBL565695,S=C1Nc2sc3c(c2CN1CCCn1ccnc1)CCC3,6.21
CHEMBL4130156,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCc1ccnc(N)c1,7.82
CHEMBL5083823,COc1cc(N(C(=O)NCCCn2cncc2C)C(C)C)ccc1OCCN1CCOCC1,7.68
CHEMBL5077702,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCN1CCOCC1,7.73
CHEMBL5092834,COc1cc(N(C)C(=O)NCCCn2cncc2C)ccc1OCCN1CCOCC1,7.82
CHEMBL5281802,Cc1n[nH]c2cc(N(C(=O)NCCCn3cncc3C)C3CCN(C)CC3)ccc12,7.27
CHEMBL5267466,Cc1nn(C)c2cc(N(C(=O)NCCCn3cncc3C)C3CCN(C)CC3)ccc12,8.01
CHEMBL4129008,Cc1cncn1CCCNC(=S)Nc1ccc(C(=O)NC2CCN(CCN)CC2)cc1,7.79
CHEMBL4539950,COc1ccc(N(CCN2CCNCC2)C(=O)NCCCn2cncc2C)cc1OC,7.82
CHEMBL2418779,COc1ccc(SCc2nnc(-c3ccc4[nH]cnc4c3)s2)cc1OC,7.36
CHEMBL5075575,COc1cc(N(C(=S)NCCCn2cncc2C)C2CCCCC2)ccc1OCCCCc1ccnc(N)c1,9.22
CHEMBL203035,Fc1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.33
CHEMBL199540,CCc1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.56
CHEMBL199515,O=[N+]([O-])c1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.57
CHEMBL199537,Cc1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.67
CHEMBL199300,CN(C)c1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.69
CHEMBL378381,COc1cccc(N/C(S)=N/CCCn2ccnc2)c1,5.73
CHEMBL201195,CC(=O)c1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.75
CHEMBL382643,CSc1ccc(N/C(S)=N/CCCn2ccnc2)cc1,5.78
CHEMBL201039,CCOc1ccc(N/C(S)=N/CCCn2ccnc2)cc1,6.05
CHEMBL201139,COc1ccc(N/C(S)=N/C[C@H](C)Cn2ccnc2)cc1OC,6.12
CHEMBL383660,COc1cc(N/C(S)=N/CCCn2ccnc2)cc(OC)c1,6.12
CHEMBL201092,COc1ccc(N/C(S)=N/CCCn2ccnc2)cc1,6.16
CHEMBL383022,COc1cc(N/C(S)=N/CCCn2ccnc2)cc(OC)c1OC,6.47
CHEMBL201184,COc1ccc(N/C(S)=N/C[C@@H](C)Cn2ccnc2)cc1OC,6.47
CHEMBL5092800,COc1cc(N(Cc2ccc(F)cc2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCN(C)CC1,8.46
CHEMBL5089285,COc1cc(N(Cc2ccc(F)cc2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCNCC1,8.85
CHEMBL5092802,COc1cc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCOCC1,10.0
CHEMBL568073,Cc1cn(CCCN/C(=C\[N+](=O)[O-])Nc2ccc3c(c2)OCCO3)cn1,5.89
CHEMBL565492,O=[N+]([O-])/C=C(\NCCCn1ccnc1)Nc1ccc2c(c1)OCCO2,6.27
CHEMBL565908,Cc1cncn1CCCN/C(=C\[N+](=O)[O-])Nc1ccc2c(c1)OCCO2,7.17
CHEMBL5202172,COc1cc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)ccc1OCCCN1CCOCC1,7.7
CHEMBL4582369,COc1ccc(N(C(=S)NCCCn2cncc2C)C2CCCC2)cc1OC,8.19
CHEMBL5074856,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCc1ccnc(N)c1,7.77
CHEMBL2392806,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)ncn2C,6.15
CHEMBL2418793,c1ccc2cc(CSc3nnc(-c4ccc5[nH]cnc5c4)o3)ccc2c1,5.625
CHEMBL578632,Cc1sc2c(c1-c1ccccc1)CN(CCCn1cncc1C)C(=S)N2,7.08
CHEMBL2418781,c1ccc(CCn2cc(-c3ccc4[nH]cnc4c3)nn2)cc1,6.24
CHEMBL2418783,COc1cccc(CCn2cc(-c3ccc4[nH]cnc4c3)nn2)c1,6.3
CHEMBL2418784,COc1ccc(CCn2cc(-c3ccc4[nH]cnc4c3)nn2)cc1OC,6.485
CHEMBL2418782,COc1ccc(CCn2cc(-c3ccc4[nH]cnc4c3)nn2)cc1,6.585
CHEMBL5193156,COc1cc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)ccc1OCCCN1CCCCC1,7.92
CHEMBL2418799,c1ccc(SCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,6.18
CHEMBL5072886,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCCCC2)ccc1OCCN1CCN(C)CC1,7.89
